Time,Open,High,Low,Last,Change,%Chg,Volume
11/01/2024,5723.22,6017.31,5696.51,5994.8,289.35,+5.07%,0
10/01/2024,5757.73,5876.84,5674,5705.45,-57.03,-0.99%,0
09/01/2024,5623.89,5765.4,5402.62,5762.48,114.08,+2.02%,0
08/01/2024,5537.84,5651.62,5119.26,5648.4,126.1,+2.28%,0
07/01/2024,5471.08,5669.65,5390.95,5522.3,61.82,+1.13%,0
06/01/2024,5297.15,5523.41,5234.32,5460.48,182.97,+3.47%,0
05/01/2024,5029.03,5341.88,5011.53,5277.51,241.82,+4.80%,0
04/01/2024,5257.97,5263.95,4953.56,5035.69,-218.66,-4.16%,0
03/01/2024,5098.51,5264.85,5056.82,5254.35,158.08,+3.10%,0
02/01/2024,4861.11,5111.06,4853.52,5096.27,250.62,+5.17%,0
01/01/2024,4745.2,4931.09,4682.11,4845.65,75.82,+1.59%,0
12/01/2023,4559.43,4793.3,4546.5,4769.83,202.03,+4.42%,0
11/01/2023,4201.27,4587.64,4197.74,4567.8,374,+8.92%,0
10/01/2023,4284.52,4393.57,4103.78,4193.8,-94.25,-2.20%,0
09/01/2023,4530.6,4540.82,4238.63,4288.05,-219.61,-4.87%,0
08/01/2023,4578.83,4584.62,4335.99,4507.66,-81.3,-1.77%,0
07/01/2023,4450.48,4607.07,4385.05,4588.96,138.58,+3.11%,0
06/01/2023,4183.03,4458.48,4171.64,4450.38,270.55,+6.47%,0
05/01/2023,4166.79,4231.1,4048.28,4179.83,10.35,+0.25%,0
04/01/2023,4102.2,4170.06,4049.35,4169.48,60.17,+1.46%,0
03/01/2023,3963.34,4110.75,3808.86,4109.31,139.16,+3.51%,0
02/01/2023,4070.07,4195.44,3943.08,3970.15,-106.45,-2.61%,0
01/01/2023,3853.29,4094.21,3794.33,4076.6,237.1,+6.18%,0
12/01/2022,4087.14,4100.96,3764.49,3839.5,-240.61,-5.90%,0
11/01/2022,3901.79,4080.11,3698.39,4080.11,208.13,+5.38%,0
10/01/2022,3609.78,3905.42,3491.58,3871.98,286.36,+7.99%,0
09/01/2022,3936.73,4119.28,3585.11,3585.62,-369.38,-9.34%,0
08/01/2022,4112.38,4325.28,3954.53,3955,-175.29,-4.24%,0
07/01/2022,3781,4140.15,3721.56,4130.29,344.91,+9.11%,0
06/01/2022,4149.78,4176.9,3636.94,3785.38,-346.77,-8.39%,0
05/01/2022,4130.61,4307.66,3810.32,4132.15,0.22,+0.01%,0
04/01/2022,4540.32,4593.45,4124.28,4131.93,-398.48,-8.80%,0
03/01/2022,4363.14,4637.3,4160.17,4530.41,156.47,+3.58%,0
02/01/2022,4519.57,4595.31,4116.06,4373.94,-141.61,-3.14%,0
01/01/2022,4778.14,4818.62,4222.85,4515.55,-250.63,-5.26%,0
12/01/2021,4602.82,4808.93,4495.12,4766.18,199.18,+4.36%,0
11/01/2021,4610.62,4743.83,4560,4567,-38.38,-0.83%,0
10/01/2021,4317.16,4608.08,4278.94,4605.38,297.84,+6.91%,0
09/01/2021,4528.8,4545.85,4305.91,4307.54,-215.14,-4.76%,0
08/01/2021,4406.86,4537.36,4368.8,4522.68,127.42,+2.90%,0
07/01/2021,4300.73,4429.97,4233.13,4395.26,97.76,+2.27%,0
06/01/2021,4216.52,4302.43,4165.3,4297.5,93.39,+2.22%,0
05/01/2021,4191.98,4238.04,4056.88,4204.11,22.94,+0.55%,0
04/01/2021,3992.78,4218.64,3992.78,4181.17,208.28,+5.24%,0
03/01/2021,3842.51,3994.41,3723.34,3972.89,161.74,+4.24%,0
02/01/2021,3731.17,3950.43,3725.62,3811.15,96.91,+2.61%,0
01/01/2021,3764.61,3870.9,3662.71,3714.24,-41.83,-1.11%,0
12/01/2020,3645.87,3758.48,3633.4,3756.07,134.44,+3.71%,0
11/01/2020,3296.2,3644.31,3279.74,3621.63,351.67,+10.75%,0
10/01/2020,3385.87,3549.85,3233.94,3269.96,-93.04,-2.77%,0
09/01/2020,3507.44,3588.11,3209.45,3363,-137.31,-3.92%,0
08/01/2020,3288.26,3514.77,3284.53,3500.31,229.19,+7.01%,0
07/01/2020,3105.92,3279.99,3101.17,3271.12,170.83,+5.51%,0
06/01/2020,3038.78,3233.13,2965.66,3100.29,55.98,+1.84%,0
05/01/2020,2869.09,3068.67,2766.64,3044.31,131.88,+4.53%,0
04/01/2020,2498.08,2954.86,2447.49,2912.43,327.84,+12.68%,0
03/01/2020,2974.28,3136.39,2191.86,2584.59,-369.63,-12.51%,0
02/01/2020,3235.66,3393.52,2855.84,2954.22,-271.3,-8.41%,0
01/01/2020,3244.67,3337.77,3214.64,3225.52,-5.26,-0.16%,0
12/01/2019,3143.85,3247.93,3070.49,3230.78,89.8,+2.86%,0
11/01/2019,3089.28,3154.26,3078.8,3140.98,53.97,+1.75%,0
"Downloaded from Barchart.com as of 11-12-2024 01:28pm CST"
